product_id,product_name,category,unit_cost_gbp,case_size,active_flag,primary_supplier_id
SKU0140,Ambient Food Product 0140,Ambient Food,3.06,1,Y,SUP040
SKU0141,Frozen Product 0141,Frozen,4.41,12,Y,SUP023
SKU0142,Frozen Product 0142,Frozen,17.24,12,Y,SUP033
SKU0143,Personal Care Product 0143,Personal Care,12.76,12,Y,SUP054
SKU0144,Beverages Product 0144,Beverages,19.43,24,Y,SUP015
SKU0145,Frozen Product 0145,Frozen,6.19,6,Y,SUP039
SKU0146,Chilled Product 0146,Chilled,3.49,8,Y,SUP050
SKU0147,Chilled Product 0147,Chilled,6.32,10,Y,SUP026
SKU0148,Frozen Product 0148,Frozen,7.9,1,Y,SUP059
SKU0149,Frozen Product 0149,Frozen,7.78,10,N,SUP027
SKU0150,Ambient Food Product 0150,Ambient Food,15.44,8,Y,SUP028
SKU0151,Household Product 0151,Household,5.84,10,Y,SUP054
SKU0152,Personal Care Product 0152,Personal Care,9.29,10,Y,SUP039
SKU0153,Ambient Food Product 0153,Ambient Food,3.89,24,Y,SUP053
SKU0154,Beverages Product 0154,Beverages,9.9,8,Y,SUP048
SKU0155,Ambient Food Product 0155,Ambient Food,7.4,24,Y,SUP043
SKU0156,Beverages Product 0156,Beverages,4.54,10,Y,SUP015
SKU0157,Chilled Product 0157,Chilled,6.34,8,Y,SUP024
SKU0158,Beverages Product 0158,Beverages,6.56,12,Y,SUP052
SKU0159,Household Product 0159,Household,6.2,10,N,SUP037
SKU0160,Household Product 0160,Household,23.37,6,Y,SUP017
SKU0161,Ambient Food Product 0161,Ambient Food,6.93,12,Y,SUP020
SKU0162,Personal Care Product 0162,Personal Care,6.31,6,N,SUP047
SKU0163,Ambient Food Product 0163,Ambient Food,1.89,8,Y,SUP011
SKU0164,Ambient Food Product 0164,Ambient Food,4.13,12,Y,SUP007
SKU0165,Beverages Product 0165,Beverages,6.23,10,Y,SUP046
SKU0166,Chilled Product 0166,Chilled,4.73,24,Y,SUP018
SKU0167,Household Product 0167,Household,18.14,6,Y,SUP046
SKU0168,Household Product 0168,Household,6.64,24,Y,SUP033
SKU0169,Chilled Product 0169,Chilled,17.07,12,Y,SUP060
SKU0170,Personal Care Product 0170,Personal Care,7.69,24,Y,SUP032
SKU0171,Chilled Product 0171,Chilled,7.57,24,Y,SUP053
SKU0172,Frozen Product 0172,Frozen,6.97,6,Y,SUP052
SKU0173,Chilled Product 0173,Chilled,7.41,12,Y,SUP013
SKU0174,Personal Care Product 0174,Personal Care,22.58,6,Y,SUP060
SKU0175,Ambient Food Product 0175,Ambient Food,1.64,24,Y,SUP045
SKU0176,Ambient Food Product 0176,Ambient Food,2.01,12,Y,SUP007
SKU0177,Frozen Product 0177,Frozen,5.19,8,Y,SUP001
SKU0178,Personal Care Product 0178,Personal Care,7.46,24,Y,SUP017
SKU0179,Personal Care Product 0179,Personal Care,11.57,6,Y,SUP001
SKU0180,Household Product 0180,Household,10.05,12,Y,SUP022
SKU0181,Personal Care Product 0181,Personal Care,5.76,12,Y,SUP060
SKU0182,Personal Care Product 0182,Personal Care,14.33,1,Y,SUP029
SKU0183,Frozen Product 0183,Frozen,14.43,12,Y,UNKNOWN
SKU0184,Chilled Product 0184,Chilled,8.33,24,Y,SUP030
SKU0185,Household Product 0185,Household,13.81,1,Y,SUP014
SKU0186,Beverages Product 0186,Beverages,8.82,12,Y,SUP052
SKU0187,Chilled Product 0187,Chilled,5.13,6,Y,SUP006
SKU0188,Ambient Food Product 0188,Ambient Food,11.63,12,Y,SUP047
SKU0189,Household Product 0189,Household,7.94,6,Y,SUP027
SKU0190,Chilled Product 0190,Chilled,7.4,24,Y,SUP002
SKU0191,Personal Care Product 0191,Personal Care,19.25,24,Y,SUP041
SKU0192,Ambient Food Product 0192,Ambient Food,1.5,6,Y,SUP028
SKU0193,Ambient Food Product 0193,Ambient Food,2.94,8,Y,SUP047
SKU0194,Household Product 0194,Household,3.42,12,Y,SUP038
SKU0195,Ambient Food Product 0195,Ambient Food,5.84,12,Y,SUP048
SKU0196,Ambient Food Product 0196,Ambient Food,6.26,10,Y,SUP028
SKU0197,Beverages Product 0197,Beverages,2.77,6,Y,SUP001
SKU0198,Household Product 0198,Household,3.89,6,Y,SUP008
SKU0199,Ambient Food Product 0199,Ambient Food,4.22,24,Y,SUP028
SKU0200,Chilled Product 0200,Chilled,36.5,10,Y,SUP024
SKU0201,Household Product 0201,Household,23.83,24,Y,SUP048
SKU0202,Personal Care Product 0202,Personal Care,5.65,12,Y,SUP025
SKU0203,Frozen Product 0203,Frozen,5.83,24,Y,SUP052
SKU0204,Ambient Food Product 0204,Ambient Food,3.5,6,Y,SUP012
SKU0205,Ambient Food Product 0205,Ambient Food,2.14,6,Y,SUP024
SKU0206,Ambient Food Product 0206,Ambient Food,6.85,24,Y,SUP046
SKU0207,Ambient Food Product 0207,Ambient Food,3.86,24,Y,UNKNOWN
SKU0208,Beverages Product 0208,Beverages,6.99,8,Y,SUP020
SKU0209,Ambient Food Product 0209,Ambient Food,2.61,8,Y,SUP046
SKU0210,Frozen Product 0210,Frozen,4.5,10,Y,SUP036
SKU0211,Beverages Product 0211,Beverages,8.14,10,Y,SUP047
SKU0212,Beverages Product 0212,Beverages,9.37,6,Y,SUP031
SKU0213,Ambient Food Product 0213,Ambient Food,9.69,24,Y,SUP052
SKU0214,Household Product 0214,Household,3.13,6,Y,SUP053
SKU0215,Household Product 0215,Household,12.88,12,Y,SUP059
SKU0216,Household Product 0216,Household,4.39,1,Y,SUP008
SKU0217,Ambient Food Product 0217,Ambient Food,11.15,1,Y,SUP036
SKU0218,Ambient Food Product 0218,Ambient Food,7.34,12,Y,SUP007
SKU0219,Personal Care Product 0219,Personal Care,3.02,8,Y,SUP014
SKU0220,Chilled Product 0220,Chilled,6.02,12,Y,SUP019
SKU0221,Chilled Product 0221,Chilled,9.37,6,Y,SUP039
SKU0222,Frozen Product 0222,Frozen,11.01,24,Y,SUP026
SKU0223,Beverages Product 0223,Beverages,6.74,12,Y,SUP052
SKU0224,Personal Care Product 0224,Personal Care,20.0,24,Y,SUP018
SKU0225,Chilled Product 0225,Chilled,14.22,6,Y,SUP038
SKU0226,Personal Care Product 0226,Personal Care,6.25,8,Y,SUP046
SKU0227,Ambient Food Product 0227,Ambient Food,12.03,8,Y,SUP059
SKU0228,Beverages Product 0228,Beverages,25.97,12,Y,SUP015
SKU0229,Beverages Product 0229,Beverages,26.43,8,Y,SUP045
SKU0230,Ambient Food Product 0230,Ambient Food,3.33,1,Y,SUP006
SKU0231,Ambient Food Product 0231,Ambient Food,4.05,8,Y,SUP033
SKU0232,Frozen Product 0232,Frozen,19.4,6,Y,SUP025
SKU0233,Personal Care Product 0233,Personal Care,3.71,10,Y,SUP058
SKU0234,Beverages Product 0234,Beverages,3.13,6,Y,SUP047
SKU0235,Personal Care Product 0235,Personal Care,5.39,8,Y,SUP056
SKU0236,Household Product 0236,Household,9.71,12,Y,SUP052
SKU0237,Frozen Product 0237,Frozen,6.91,10,Y,SUP025
SKU0238,Household Product 0238,Household,4.84,8,Y,SUP045
SKU0239,Ambient Food Product 0239,Ambient Food,4.77,12,N,SUP002
SKU0240,Ambient Food Product 0240,Ambient Food,4.65,12,Y,SUP034
SKU0241,Household Product 0241,Household,4.17,8,Y,SUP003
SKU0242,Household Product 0242,Household,32.56,12,Y,SUP044
SKU0243,Ambient Food Product 0243,Ambient Food,8.97,24,Y,SUP059
SKU0244,Beverages Product 0244,Beverages,13.15,12,Y,SUP041
SKU0245,Beverages Product 0245,Beverages,5.38,24,Y,SUP051
SKU0246,Household Product 0246,Household,6.55,12,Y,SUP015
SKU0247,Beverages Product 0247,Beverages,4.65,1,Y,SUP060
SKU0248,Frozen Product 0248,Frozen,1.32,10,Y,SUP034
SKU0249,Chilled Product 0249,Chilled,3.02,12,Y,SUP041
SKU0250,Frozen Product 0250,Frozen,2.28,24,Y,SUP047
SKU0251,Beverages Product 0251,Beverages,1.71,10,Y,SUP039
SKU0252,Household Product 0252,Household,3.4,6,Y,SUP020
SKU0253,Frozen Product 0253,Frozen,17.48,12,Y,SUP037
SKU0254,Ambient Food Product 0254,Ambient Food,7.18,6,Y,SUP040
SKU0255,Ambient Food Product 0255,Ambient Food,17.1,12,Y,SUP052
SKU0256,Household Product 0256,Household,9.65,12,Y,SUP029
SKU0257,Household Product 0257,Household,12.29,12,Y,SUP031
SKU0258,Ambient Food Product 0258,Ambient Food,4.11,24,Y,SUP031
SKU0259,Ambient Food Product 0259,Ambient Food,10.39,12,Y,SUP007
SKU0260,Beverages Product 0260,Beverages,11.87,12,Y,SUP006
SKU0261,Ambient Food Product 0261,Ambient Food,5.08,12,Y,SUP002
SKU0262,Household Product 0262,Household,10.63,24,Y,SUP040
SKU0263,Chilled Product 0263,Chilled,10.68,24,Y,SUP026
SKU0264,Ambient Food Product 0264,Ambient Food,5.17,1,Y,SUP052
SKU0265,Personal Care Product 0265,Personal Care,3.56,12,Y,SUP043
SKU0266,Ambient Food Product 0266,Ambient Food,3.42,6,Y,SUP009
SKU0267,Chilled Product 0267,Chilled,7.82,24,Y,SUP007
SKU0268,Ambient Food Product 0268,Ambient Food,9.14,12,Y,SUP022
SKU0269,Ambient Food Product 0269,Ambient Food,4.41,10,Y,SUP056
SKU0270,Ambient Food Product 0270,Ambient Food,7.52,6,Y,SUP003
SKU0271,Ambient Food Product 0271,Ambient Food,10.71,8,Y,SUP012
SKU0272,Ambient Food Product 0272,Ambient Food,11.04,12,Y,SUP002
SKU0273,Ambient Food Product 0273,Ambient Food,20.26,6,Y,SUP025
SKU0274,Beverages Product 0274,Beverages,16.95,6,Y,SUP060
SKU0275,Beverages Product 0275,Beverages,3.85,24,Y,SUP042
SKU0276,Chilled Product 0276,Chilled,22.07,12,Y,SUP030
SKU0277,Chilled Product 0277,Chilled,5.23,6,Y,SUP009
SKU0278,Frozen Product 0278,Frozen,14.57,8,Y,SUP022
SKU0279,Household Product 0279,Household,7.72,24,Y,SUP032
SKU0280,Household Product 0280,Household,5.65,12,Y,SUP017
SKU0281,Ambient Food Product 0281,Ambient Food,2.28,12,Y,SUP043
SKU0282,Ambient Food Product 0282,Ambient Food,6.61,8,Y,SUP059
SKU0283,Ambient Food Product 0283,Ambient Food,2.68,8,Y,SUP013
SKU0284,Ambient Food Product 0284,Ambient Food,13.86,1,N,SUP016
SKU0285,Beverages Product 0285,Beverages,19.8,12,Y,SUP008
SKU0286,Frozen Product 0286,Frozen,4.4,1,Y,SUP044
SKU0287,Ambient Food Product 0287,Ambient Food,8.99,1,Y,SUP028
SKU0288,Chilled Product 0288,Chilled,4.61,12,Y,SUP018
SKU0289,Frozen Product 0289,Frozen,4.91,24,Y,SUP014
SKU0290,Ambient Food Product 0290,Ambient Food,12.22,12,Y,SUP005
SKU0291,Household Product 0291,Household,7.21,10,Y,SUP029
SKU0292,Ambient Food Product 0292,Ambient Food,22.89,12,N,SUP041
SKU0293,Personal Care Product 0293,Personal Care,5.4,10,Y,SUP015
SKU0294,Ambient Food Product 0294,Ambient Food,14.15,8,Y,SUP001
SKU0295,Household Product 0295,Household,7.87,12,Y,SUP029
SKU0296,Personal Care Product 0296,Personal Care,12.39,10,Y,SUP041
SKU0297,Personal Care Product 0297,Personal Care,5.53,12,Y,SUP021
SKU0298,Household Product 0298,Household,7.15,24,Y,SUP016
SKU0299,Household Product 0299,Household,6.85,24,Y,SUP010
SKU0300,Beverages Product 0300,Beverages,4.29,1,Y,SUP045
SKU0301,Household Product 0301,Household,11.36,10,Y,SUP052
SKU0302,Ambient Food Product 0302,Ambient Food,11.28,6,Y,SUP047
SKU0303,Beverages Product 0303,Beverages,10.87,8,Y,SUP032
SKU0304,Frozen Product 0304,Frozen,20.07,8,Y,SUP044
SKU0305,Household Product 0305,Household,18.96,6,Y,UNKNOWN
SKU0306,Frozen Product 0306,Frozen,5.79,12,Y,SUP002
SKU0307,Chilled Product 0307,Chilled,9.42,12,Y,SUP023
SKU0308,Beverages Product 0308,Beverages,4.93,24,Y,SUP043
SKU0309,Chilled Product 0309,Chilled,7.5,1,Y,SUP039
SKU0310,Ambient Food Product 0310,Ambient Food,5.0,1,Y,SUP060
SKU0311,Frozen Product 0311,Frozen,21.18,10,Y,SUP060
SKU0312,Frozen Product 0312,Frozen,9.36,6,Y,SUP015
SKU0313,Ambient Food Product 0313,Ambient Food,6.41,8,Y,SUP001
SKU0314,Chilled Product 0314,Chilled,16.05,24,Y,SUP017
SKU0315,Chilled Product 0315,Chilled,1.8,6,Y,SUP053
SKU0316,Chilled Product 0316,Chilled,2.0,6,Y,SUP049
SKU0317,Chilled Product 0317,Chilled,12.4,12,Y,SUP006
SKU0318,Beverages Product 0318,Beverages,7.69,12,Y,SUP010
SKU0319,Chilled Product 0319,Chilled,8.7,12,Y,SUP034
SKU0320,Personal Care Product 0320,Personal Care,3.12,8,Y,SUP040
SKU0321,Personal Care Product 0321,Personal Care,7.28,24,Y,SUP059
SKU0322,Frozen Product 0322,Frozen,27.17,6,Y,SUP046
SKU0323,Chilled Product 0323,Chilled,12.63,10,Y,SUP013
SKU0324,Beverages Product 0324,Beverages,8.25,12,Y,SUP003
SKU0325,Household Product 0325,Household,5.55,24,Y,SUP039
SKU0326,Beverages Product 0326,Beverages,5.72,8,Y,SUP034
SKU0327,Household Product 0327,Household,1.85,12,Y,SUP056
SKU0328,Beverages Product 0328,Beverages,8.74,1,Y,SUP035
SKU0329,Beverages Product 0329,Beverages,12.8,6,Y,SUP031
SKU0330,Chilled Product 0330,Chilled,2.65,1,Y,SUP019
SKU0331,Household Product 0331,Household,4.81,12,Y,SUP006
SKU0332,Ambient Food Product 0332,Ambient Food,3.48,8,Y,SUP053
SKU0333,Beverages Product 0333,Beverages,3.95,12,Y,SUP050
SKU0334,Household Product 0334,Household,7.65,1,Y,SUP010
SKU0335,Ambient Food Product 0335,Ambient Food,1.91,24,Y,SUP043
SKU0336,Beverages Product 0336,Beverages,11.02,24,Y,SUP022
SKU0337,Ambient Food Product 0337,Ambient Food,12.06,6,Y,SUP027
SKU0338,Household Product 0338,Household,6.28,1,Y,SUP051
SKU0339,Ambient Food Product 0339,Ambient Food,1.47,1,Y,SUP051
SKU0340,Personal Care Product 0340,Personal Care,3.87,24,Y,SUP012
SKU0341,Ambient Food Product 0341,Ambient Food,16.47,6,Y,SUP019
SKU0342,Personal Care Product 0342,Personal Care,1.21,12,Y,SUP050
SKU0343,Household Product 0343,Household,5.9,10,Y,SUP056
SKU0344,Beverages Product 0344,Beverages,3.43,12,Y,SUP005
SKU0345,Household Product 0345,Household,12.47,12,Y,SUP051
SKU0346,Household Product 0346,Household,4.76,12,Y,SUP030
SKU0347,Personal Care Product 0347,Personal Care,9.61,24,Y,SUP036
SKU0348,Chilled Product 0348,Chilled,10.67,6,Y,SUP005
SKU0349,Beverages Product 0349,Beverages,24.37,24,Y,SUP041
SKU0350,Ambient Food Product 0350,Ambient Food,6.48,1,Y,SUP041
SKU0351,Beverages Product 0351,Beverages,9.44,10,Y,SUP040
SKU0352,Ambient Food Product 0352,Ambient Food,2.81,24,Y,SUP048
SKU0353,Beverages Product 0353,Beverages,16.02,12,Y,SUP057
SKU0354,Beverages Product 0354,Beverages,4.51,12,Y,SUP051
SKU0355,Frozen Product 0355,Frozen,5.13,8,Y,SUP045
SKU0356,Frozen Product 0356,Frozen,7.28,10,Y,SUP059
SKU0357,Household Product 0357,Household,2.68,8,Y,SUP041
SKU0358,Household Product 0358,Household,8.57,12,Y,SUP041
SKU0359,Frozen Product 0359,Frozen,13.86,10,Y,SUP033
SKU0360,Beverages Product 0360,Beverages,8.94,8,Y,SUP047
SKU0361,Personal Care Product 0361,Personal Care,2.63,8,Y,SUP005
SKU0362,Ambient Food Product 0362,Ambient Food,6.82,6,Y,SUP031
SKU0363,Ambient Food Product 0363,Ambient Food,11.97,8,Y,SUP026
SKU0364,Ambient Food Product 0364,Ambient Food,2.18,6,Y,SUP055
SKU0365,Beverages Product 0365,Beverages,3.67,24,Y,SUP005
SKU0366,Frozen Product 0366,Frozen,13.06,12,Y,SUP039
SKU0367,Household Product 0367,Household,8.81,6,Y,SUP012
SKU0368,Beverages Product 0368,Beverages,9.66,12,Y,SUP054
SKU0369,Chilled Product 0369,Chilled,24.75,24,Y,SUP052
SKU0370,Personal Care Product 0370,Personal Care,10.02,6,Y,SUP015
SKU0371,Household Product 0371,Household,11.33,6,Y,SUP053
SKU0372,Chilled Product 0372,Chilled,43.03,1,Y,SUP030
SKU0373,Chilled Product 0373,Chilled,6.43,1,Y,SUP059
SKU0374,Chilled Product 0374,Chilled,4.4,12,Y,SUP044
SKU0375,Ambient Food Product 0375,Ambient Food,9.76,24,Y,SUP003
SKU0376,Ambient Food Product 0376,Ambient Food,9.83,1,Y,SUP013
SKU0377,Personal Care Product 0377,Personal Care,5.25,12,Y,SUP025
SKU0378,Frozen Product 0378,Frozen,3.78,1,Y,SUP013
SKU0379,Chilled Product 0379,Chilled,33.16,12,Y,SUP008
SKU0380,Household Product 0380,Household,9.14,12,Y,SUP059
SKU0381,Beverages Product 0381,Beverages,4.59,8,N,SUP053
SKU0382,Personal Care Product 0382,Personal Care,13.4,1,Y,SUP027
SKU0383,Household Product 0383,Household,6.88,12,Y,SUP013
SKU0384,Frozen Product 0384,Frozen,6.27,24,Y,SUP011
SKU0385,Chilled Product 0385,Chilled,10.65,6,Y,SUP055
SKU0386,Personal Care Product 0386,Personal Care,3.19,6,Y,SUP020
SKU0387,Household Product 0387,Household,9.29,6,Y,SUP001
SKU0388,Personal Care Product 0388,Personal Care,25.62,12,Y,SUP024
SKU0389,Ambient Food Product 0389,Ambient Food,10.0,12,Y,SUP028
SKU0390,Household Product 0390,Household,5.79,12,Y,SUP038
SKU0391,Beverages Product 0391,Beverages,5.31,12,Y,SUP021
