product_id,warehouse_id,safety_stock_days,reorder_point_units,target_stock_units
SKU0132,WH01,5,133,279
SKU0133,WH01,7,297,568
SKU0134,WH01,10,114,198
SKU0135,WH01,10,325,564
SKU0136,WH01,7,147,280
SKU0137,WH01,7,38,73
SKU0138,WH01,5,29,61
SKU0139,WH01,7,339,650
SKU0140,WH01,7,362,694
SKU0141,WH01,10,207,358
SKU0142,WH01,7,475,909
SKU0143,WH01,5,267,559
SKU0144,WH01,5,191,400
SKU0145,WH01,5,46,96
SKU0146,WH01,14,928,1466
SKU0147,WH01,3,134,317
SKU0148,WH01,3,59,139
SKU0149,WH01,5,57,119
SKU0150,WH01,10,195,337
SKU0151,WH01,7,28,53
SKU0152,WH01,7,232,444
SKU0153,WH01,7,53,101
SKU0154,WH01,3,115,273
SKU0155,WH01,10,97,168
SKU0156,WH01,5,82,171
SKU0157,WH01,3,42,99
SKU0158,WH01,7,107,205
SKU0159,WH01,5,564,1183
SKU0160,WH01,5,358,751
SKU0161,WH01,10,213,368
SKU0162,WH01,7,121,232
SKU0163,WH01,5,220,462
SKU0164,WH01,7,342,654
SKU0165,WH01,10,74,127
SKU0166,WH01,3,77,183
SKU0167,WH01,5,20,42
SKU0168,WH01,7,339,650
SKU0169,WH01,7,792,1517
SKU0170,WH01,14,210,332
SKU0171,WH01,7,19,35
SKU0172,WH01,3,143,338
SKU0173,WH01,7,55,105
SKU0174,WH01,7,68,131
SKU0175,WH01,5,181,380
SKU0176,WH01,7,156,298
SKU0177,WH01,5,67,140
SKU0178,WH01,10,86,149
SKU0179,WH01,10,173,300
SKU0180,WH01,7,86,164
SKU0181,WH01,14,72,114
SKU0182,WH01,14,145,229
SKU0183,WH01,5,140,294
SKU0184,WH01,7,106,202
SKU0185,WH01,7,35,67
SKU0186,WH01,5,251,526
SKU0187,WH01,7,11,21
SKU0188,WH01,5,69,145
SKU0189,WH01,14,112,177
SKU0190,WH01,7,141,271
SKU0191,WH01,10,256,444
SKU0192,WH01,7,341,652
SKU0193,WH01,5,55,114
SKU0194,WH01,10,262,454
SKU0195,WH01,3,99,233
SKU0196,WH01,3,18,42
SKU0197,WH01,7,683,1309
SKU0198,WH01,10,43,74
SKU0199,WH01,7,180,345
SKU0200,WH01,3,117,278
SKU0201,WH01,7,159,304
SKU0202,WH01,5,66,139
SKU0203,WH01,3,174,412
SKU0204,WH01,7,31,59
SKU0205,WH01,5,97,204
SKU0206,WH01,5,62,130
SKU0207,WH01,7,68,129
SKU0208,WH01,10,227,394
SKU0209,WH01,5,272,570
SKU0210,WH01,7,91,174
SKU0211,WH01,5,208,436
SKU0212,WH01,14,205,323
SKU0213,WH01,5,47,97
SKU0214,WH01,5,82,172
SKU0215,WH01,7,95,181
SKU0216,WH01,5,55,116
SKU0217,WH01,5,152,318
SKU0218,WH01,5,127,267
SKU0219,WH01,7,30,57
SKU0220,WH01,7,28,54
SKU0221,WH01,10,227,392
SKU0222,WH01,10,75,129
SKU0223,WH01,7,162,311
SKU0224,WH01,14,395,623
SKU0225,WH01,10,50,86
SKU0226,WH01,10,44,76
SKU0227,WH01,10,696,1207
SKU0228,WH01,7,170,325
SKU0229,WH01,5,71,149
SKU0230,WH01,7,54,103
SKU0231,WH01,5,65,137
SKU0232,WH01,7,43,81
SKU0233,WH01,3,183,433
SKU0234,WH01,3,41,98
SKU0235,WH01,14,523,826
SKU0236,WH01,10,108,187
SKU0237,WH01,7,49,93
SKU0238,WH01,7,85,162
SKU0239,WH01,7,12,23
SKU0240,WH01,10,139,240
SKU0241,WH01,10,133,230
SKU0242,WH01,7,260,497
SKU0243,WH01,7,23,44
SKU0244,WH01,7,352,673
SKU0245,WH01,10,323,560
SKU0246,WH01,14,603,952
SKU0247,WH01,7,118,226
SKU0248,WH01,7,308,589
SKU0249,WH01,7,33,63
SKU0250,WH01,7,235,450
SKU0251,WH01,14,98,155
SKU0252,WH01,10,35,61
SKU0253,WH01,7,45,86
SKU0254,WH01,7,124,238
SKU0255,WH01,7,59,113
SKU0256,WH01,3,116,275
SKU0257,WH01,7,25,47
SKU0258,WH01,10,23,40
SKU0259,WH01,10,531,920
SKU0260,WH01,5,232,487
SKU0261,WH01,10,60,104
SKU0262,WH01,10,154,267
SKU0263,WH01,5,258,541
SKU0264,WH01,7,180,345
SKU0265,WH01,7,141,271
SKU0266,WH01,10,414,717
SKU0267,WH01,5,54,112
SKU0268,WH01,5,106,223
SKU0269,WH01,7,122,233
SKU0270,WH01,3,65,153
SKU0271,WH01,7,87,167
SKU0272,WH01,10,165,286
SKU0273,WH01,5,107,223
SKU0274,WH01,7,49,93
SKU0275,WH01,14,402,635
SKU0276,WH01,7,52,99
SKU0277,WH01,7,102,195
SKU0278,WH01,7,95,182
SKU0279,WH01,5,142,299
SKU0280,WH01,5,16,33
SKU0281,WH01,10,344,596
SKU0282,WH01,7,68,129
SKU0283,WH01,5,309,648
SKU0284,WH01,3,54,128
SKU0285,WH01,10,148,256
SKU0286,WH01,3,461,1094
SKU0287,WH01,10,121,209
SKU0288,WH01,7,377,722
SKU0289,WH01,7,128,245
SKU0290,WH01,5,150,314
SKU0291,WH01,5,110,230
SKU0292,WH01,7,265,508
SKU0293,WH01,10,84,145
SKU0294,WH01,5,43,90
SKU0295,WH01,7,70,134
SKU0296,WH01,7,135,259
SKU0297,WH01,5,85,177
SKU0298,WH01,7,234,449
SKU0299,WH01,5,333,699
SKU0300,WH01,7,52,99
SKU0301,WH01,5,54,112
SKU0302,WH01,7,34,65
SKU0303,WH01,7,768,1471
SKU0304,WH01,7,163,312
SKU0305,WH01,7,190,365
SKU0306,WH01,14,59,93
SKU0307,WH01,7,124,237
SKU0308,WH01,10,244,423
SKU0309,WH01,5,82,172
SKU0310,WH01,7,325,623
SKU0311,WH01,3,659,1565
SKU0312,WH01,7,53,101
SKU0313,WH01,10,62,107
SKU0314,WH01,10,70,122
SKU0315,WH01,7,524,1004
SKU0316,WH01,7,316,605
SKU0317,WH01,5,92,192
SKU0318,WH01,3,85,202
SKU0319,WH01,10,74,129
SKU0320,WH01,5,230,481
SKU0321,WH01,5,74,154
SKU0322,WH01,14,155,245
SKU0323,WH01,14,338,534
SKU0324,WH01,7,105,200
SKU0325,WH01,7,100,192
SKU0326,WH01,10,156,270
SKU0327,WH01,5,211,442
SKU0328,WH01,7,543,1041
SKU0329,WH01,7,209,401
SKU0330,WH01,14,403,636
SKU0331,WH01,14,164,258
SKU0332,WH01,10,82,142
SKU0333,WH01,5,186,389
SKU0334,WH01,7,144,276
SKU0335,WH01,5,29,61
SKU0336,WH01,10,115,199
SKU0337,WH01,5,96,201
SKU0338,WH01,3,52,124
SKU0339,WH01,10,586,1015
SKU0340,WH01,7,191,365
SKU0341,WH01,10,531,920
SKU0342,WH01,3,105,248
SKU0343,WH01,10,166,288
SKU0344,WH01,3,36,85
SKU0345,WH01,3,84,198
SKU0346,WH01,7,125,240
SKU0347,WH01,5,31,64
SKU0348,WH01,7,76,146
SKU0349,WH01,3,62,147
SKU0350,WH01,3,120,284
SKU0351,WH01,10,234,405
SKU0352,WH01,5,61,128
SKU0353,WH01,10,236,408
SKU0354,WH01,10,131,227
SKU0355,WH01,3,7,15
SKU0356,WH01,10,100,173
SKU0357,WH01,5,272,571
SKU0358,WH01,7,28,53
SKU0359,WH01,5,114,239
SKU0360,WH01,10,643,1114
SKU0361,WH01,7,63,120
SKU0362,WH01,7,124,237
SKU0363,WH01,14,61,96
SKU0364,WH01,7,534,1023
SKU0365,WH01,10,144,248
SKU0366,WH01,10,161,279
SKU0367,WH01,14,661,1044
SKU0368,WH01,14,355,560
SKU0369,WH01,14,89,141
SKU0370,WH01,5,58,121
SKU0371,WH01,10,241,418
SKU0372,WH01,10,88,153
SKU0373,WH01,7,19,36
SKU0374,WH01,5,98,206
SKU0375,WH01,14,52,82
SKU0376,WH01,5,441,925
SKU0377,WH01,7,145,278
SKU0378,WH01,7,55,105
SKU0379,WH01,5,55,116
SKU0380,WH01,10,29,49
SKU0381,WH01,5,39,81
SKU0382,WH01,10,385,668
SKU0383,WH01,10,1150,1993
SKU0384,WH01,7,238,455
SKU0385,WH01,10,142,247
SKU0386,WH01,5,70,147
SKU0387,WH01,10,66,114
SKU0388,WH01,14,1248,1969
SKU0389,WH01,5,87,183
SKU0390,WH01,10,1036,1795
SKU0391,WH01,7,433,829
SKU0392,WH01,7,26,50
SKU0393,WH01,10,85,147
SKU0394,WH01,7,68,130
SKU0395,WH01,7,115,221
SKU0396,WH01,5,98,205
SKU0397,WH01,7,1830,3507
SKU0398,WH01,10,59,102
SKU0399,WH01,5,127,266
SKU0400,WH01,7,215,412
SKU0401,WH01,5,103,216
SKU0402,WH01,10,171,296
SKU0403,WH01,7,49,93
SKU0404,WH01,7,136,261
SKU0405,WH01,5,163,343
SKU0406,WH01,7,166,318
SKU0407,WH01,14,327,516
SKU0408,WH01,7,440,844
SKU0409,WH01,7,287,550
SKU0410,WH01,10,165,286
SKU0411,WH01,7,43,83
SKU0412,WH01,7,72,138
SKU0413,WH01,7,102,195
SKU0414,WH01,5,130,271
SKU0415,WH01,10,101,174
SKU0416,WH01,10,67,116
SKU0417,WH01,14,68,106
SKU0418,WH01,10,35,61
SKU0419,WH01,7,100,192
SKU0420,WH01,5,28,58
SKU0421,WH01,7,51,97
SKU0422,WH01,14,138,217
SKU0423,WH01,10,47,81
SKU0424,WH01,7,174,333
SKU0425,WH01,10,301,521
SKU0426,WH01,10,95,164
SKU0427,WH01,14,132,209
SKU0428,WH01,10,251,434
SKU0429,WH01,7,65,125
SKU0430,WH01,5,51,107
SKU0431,WH01,7,363,695
SKU0432,WH01,7,274,525
SKU0433,WH01,14,336,530
SKU0434,WH01,7,284,544
SKU0435,WH01,7,21,40
SKU0436,WH01,7,418,800
SKU0437,WH01,7,176,337
SKU0438,WH01,7,307,588
SKU0439,WH01,5,146,306
SKU0440,WH01,10,162,280
SKU0441,WH01,7,97,185
SKU0442,WH01,7,172,330
SKU0443,WH01,5,78,164
SKU0444,WH01,7,270,517
SKU0445,WH01,10,37,65
SKU0446,WH01,10,95,165
SKU0447,WH01,3,519,1231
SKU0448,WH01,14,112,176
SKU0449,WH01,10,125,216
SKU0450,WH01,5,47,98
SKU0451,WH01,5,140,293
SKU0452,WH01,5,53,112
SKU0453,WH01,10,131,227
SKU0454,WH01,5,221,464
SKU0455,WH01,7,66,127
SKU0456,WH01,10,314,544
SKU0457,WH01,10,324,561
SKU0458,WH01,10,399,691
SKU0459,WH01,10,176,304
SKU0460,WH01,5,1901,3992
SKU0461,WH01,10,399,691
SKU0462,WH01,5,138,290
SKU0463,WH01,5,47,99
SKU0464,WH01,14,179,283
SKU0465,WH01,5,372,780
SKU0466,WH01,5,479,1006
SKU0467,WH01,7,467,895
SKU0468,WH01,7,251,480
SKU0469,WH01,5,34,70
SKU0470,WH01,7,192,367
SKU0471,WH01,10,51,88
SKU0472,WH01,10,41,71
SKU0473,WH01,5,128,268
SKU0474,WH01,7,198,379
SKU0475,WH01,10,348,603
SKU0476,WH01,5,161,338
SKU0477,WH01,5,166,349
SKU0478,WH01,3,34,81
SKU0479,WH01,7,113,216
SKU0480,WH01,5,27,56
SKU0481,WH01,10,26,45
SKU0482,WH01,14,381,601
SKU0483,WH01,5,53,110
SKU0484,WH01,7,271,519
SKU0485,WH01,5,279,586
SKU0486,WH01,3,48,112
SKU0487,WH01,10,263,455
SKU0488,WH01,7,69,131
SKU0489,WH01,14,38,59
SKU0490,WH01,7,138,265
SKU0491,WH01,5,68,142
SKU0492,WH01,7,84,160
SKU0493,WH01,5,609,1278
SKU0494,WH01,10,40,68
SKU0495,WH01,10,218,378
SKU0496,WH01,7,51,97
SKU0497,WH01,7,280,536
SKU0498,WH01,10,202,350
SKU0499,WH01,10,217,377
SKU0500,WH01,5,44,93
SKU0501,WH01,3,42,99
SKU0502,WH01,5,237,498
SKU0503,WH01,7,608,1164
SKU0504,WH01,7,191,365
SKU0505,WH01,5,46,97
SKU0506,WH01,7,168,321
SKU0507,WH01,7,1097,2102
SKU0508,WH01,5,113,237
SKU0509,WH01,14,729,1150
SKU0510,WH01,7,64,122
SKU0511,WH01,7,119,228
SKU0512,WH01,7,216,413
SKU0513,WH01,7,177,339
SKU0514,WH01,10,78,135
SKU0515,WH01,7,200,115
SKU0516,WH01,7,301,576
SKU0517,WH01,14,571,902
SKU0518,WH01,10,602,1043
SKU0519,WH01,10,783,1356
SKU0520,WH01,5,117,244
SKU0521,WH01,5,78,164
SKU0522,WH01,10,521,902
SKU0523,WH01,7,235,450
SKU0524,WH01,10,64,111
SKU0525,WH01,10,61,106
SKU0526,WH01,5,161,337
SKU0527,WH01,5,88,185
SKU0528,WH01,7,121,231
SKU0529,WH01,5,270,567
SKU0530,WH01,10,306,530
SKU0531,WH01,10,511,885
SKU0532,WH01,7,22,42
SKU0533,WH01,10,194,336
SKU0534,WH01,7,231,442
SKU0535,WH01,10,40,68
SKU0536,WH01,5,58,120
SKU0537,WH01,10,73,126
SKU0538,WH01,10,158,273
SKU0539,WH01,5,445,935
SKU0540,WH01,7,762,1460
SKU0541,WH01,10,75,129
SKU0542,WH01,5,166,347
SKU0543,WH01,10,255,442
SKU0544,WH01,14,277,438
SKU0545,WH01,10,221,383
SKU0546,WH01,7,163,311
SKU0547,WH01,7,564,1080
SKU0548,WH01,14,527,832
SKU0549,WH01,7,48,92
SKU0550,WH01,5,211,442
SKU0551,WH01,3,184,437
SKU0552,WH01,10,205,355
SKU0553,WH01,7,342,655
SKU0554,WH01,5,122,256
SKU0555,WH01,7,148,284
SKU0556,WH01,10,172,299
SKU0557,WH01,7,21,39
SKU0558,WH01,10,144,249
SKU0559,WH01,10,85,147
SKU0560,WH01,14,68,107
SKU0561,WH01,10,561,972
SKU0562,WH01,5,162,340
SKU0563,WH01,10,151,261
SKU0564,WH01,3,50,118
SKU0565,WH01,14,256,403
SKU0566,WH01,5,251,527
SKU0567,WH01,10,74,127
SKU0568,WH01,10,154,267
SKU0569,WH01,5,225,472
SKU0570,WH01,10,28,47
SKU0571,WH01,3,79,186
SKU0572,WH01,7,84,161
SKU0573,WH01,7,110,210
SKU0574,WH01,7,79,151
SKU0575,WH01,7,140,268
SKU0576,WH01,14,1104,1742
SKU0577,WH01,7,93,177
SKU0578,WH01,7,161,308
SKU0579,WH01,10,929,1610
SKU0580,WH01,10,95,163
SKU0581,WH01,3,422,1001
SKU0582,WH01,14,197,310
SKU0583,WH01,3,409,972
SKU0584,WH01,7,243,465
SKU0585,WH01,7,163,312
SKU0586,WH01,10,146,252
SKU0587,WH01,5,59,124
SKU0588,WH01,5,111,232
SKU0589,WH01,10,346,600
SKU0590,WH01,5,102,214
SKU0591,WH01,7,93,178
SKU0592,WH01,10,124,214
SKU0593,WH01,10,377,654
SKU0594,WH01,5,310,651
SKU0595,WH01,7,68,130
SKU0596,WH01,14,108,169
SKU0597,WH01,7,174,333
SKU0598,WH01,3,326,773
SKU0599,WH01,5,289,606
SKU0600,WH01,7,40,77
SKU0601,WH01,14,155,244
SKU0602,WH01,7,54,103
SKU0603,WH01,3,65,154
SKU0604,WH01,7,523,1002
SKU0605,WH01,5,29,61
SKU0606,WH01,5,24,51
SKU0607,WH01,14,93,147
SKU0608,WH01,10,200,347
SKU0609,WH01,3,144,342
SKU0610,WH01,7,183,351
SKU0611,WH01,5,297,622
SKU0612,WH01,5,22,45
SKU0613,WH01,7,360,690
SKU0614,WH01,7,94,179
SKU0615,WH01,10,298,517
SKU0616,WH01,10,47,82
SKU0617,WH01,5,104,217
SKU0618,WH01,14,242,382
SKU0619,WH01,7,350,670
SKU0620,WH01,5,25,52
SKU0621,WH01,10,159,275
SKU0622,WH01,3,31,74
SKU0623,WH01,7,195,373
SKU0624,WH01,10,311,539
SKU0625,WH01,5,328,688
SKU0626,WH01,10,96,166
SKU0627,WH01,5,237,498
SKU0628,WH01,10,525,910
SKU0629,WH01,3,19,45
SKU0630,WH01,5,179,375
SKU0631,WH01,7,293,561
SKU0632,WH01,10,123,212
SKU0633,WH01,5,35,73
SKU0634,WH01,10,361,625
SKU0635,WH01,5,35,74
SKU0636,WH01,7,106,202
SKU0637,WH01,7,119,229
SKU0638,WH01,5,196,412
SKU0639,WH01,14,112,176
SKU0640,WH01,7,67,128
SKU0641,WH01,10,169,293
SKU0642,WH01,7,306,585
SKU0643,WH01,7,967,1853
SKU0644,WH01,7,32,61
SKU0645,WH01,10,205,356
SKU0646,WH01,10,59,101
SKU0647,WH01,7,309,592
SKU0648,WH01,7,54,102
SKU0649,WH01,7,68,129
SKU0650,WH01,7,73,140
SKU0651,WH01,7,116,221
SKU0652,WH01,7,166,317
SKU0653,WH01,10,239,414
SKU0654,WH01,14,195,307
SKU0655,WH01,14,60,94
SKU0656,WH01,10,297,515
SKU0657,WH01,7,118,226
SKU0658,WH01,10,439,761
SKU0659,WH01,5,55,115
SKU0660,WH01,7,30,56
SKU0661,WH01,5,100,210
SKU0662,WH01,3,265,628
SKU0663,WH01,14,226,357
SKU0664,WH01,10,129,224
SKU0665,WH01,7,57,109
SKU0666,WH01,5,501,1051
SKU0667,WH01,10,62,106
SKU0668,WH01,7,65,124
SKU0669,WH01,10,258,447
SKU0670,WH01,14,37,59
SKU0671,WH01,7,389,745
SKU0672,WH01,5,181,379
SKU0673,WH01,5,231,485
SKU0674,WH01,5,170,357
SKU0675,WH01,7,107,205
SKU0676,WH01,3,32,76
SKU0677,WH01,5,91,191
SKU0678,WH01,5,43,90
SKU0679,WH01,5,160,335
SKU0680,WH01,10,319,553
SKU0681,WH01,5,389,816
SKU0682,WH01,10,216,374
SKU0683,WH01,5,237,497
SKU0684,WH01,5,79,166
SKU0685,WH01,3,54,128
SKU0686,WH01,10,237,410
SKU0687,WH01,5,73,153
SKU0688,WH01,7,158,302
SKU0689,WH01,5,40,84
SKU0690,WH01,14,89,140
SKU0691,WH01,5,183,383
SKU0692,WH01,7,275,526
SKU0693,WH01,10,64,111
SKU0694,WH01,5,188,395
SKU0695,WH01,5,64,134
SKU0696,WH01,10,157,272
SKU0697,WH01,5,369,773
SKU0698,WH01,3,171,405
SKU0699,WH01,7,253,484
SKU0700,WH01,3,459,1089
SKU0701,WH01,14,104,164
SKU0702,WH01,7,51,98
SKU0703,WH01,7,65,124
SKU0704,WH01,5,82,172
SKU0705,WH01,10,19,33
SKU0706,WH01,10,128,222
SKU0707,WH01,3,51,120
SKU0708,WH01,10,313,542
SKU0709,WH01,7,170,325
SKU0710,WH01,10,90,156
SKU0711,WH01,5,175,368
SKU0712,WH01,5,198,414
SKU0713,WH01,10,78,134
SKU0714,WH01,10,99,172
SKU0715,WH01,7,17,32
SKU0716,WH01,3,31,74
SKU0717,WH01,10,80,138
SKU0718,WH01,5,110,231
SKU0719,WH01,7,53,101
SKU0720,WH01,7,78,149
SKU0721,WH01,5,35,72
SKU0722,WH01,3,96,228
SKU0723,WH01,3,121,287
SKU0724,WH01,14,281,444
SKU0725,WH01,7,125,240
SKU0726,WH01,10,39,67
SKU0727,WH01,14,112,177
SKU0728,WH01,10,107,186
SKU0729,WH01,7,86,165
SKU0730,WH01,7,132,253
SKU0731,WH01,7,446,854
SKU0732,WH01,7,257,492
SKU0733,WH01,14,81,127
SKU0734,WH01,10,284,493
SKU0735,WH01,7,220,421
SKU0736,WH01,7,60,115
SKU0737,WH01,10,332,574
SKU0738,WH01,5,89,187
SKU0739,WH01,10,44,76
SKU0740,WH01,5,155,326
SKU0741,WH01,10,188,325
SKU0742,WH01,10,126,218
SKU0743,WH01,7,120,229
SKU0744,WH01,5,54,114
SKU0745,WH01,10,268,463
SKU0746,WH01,7,119,228
SKU0747,WH01,7,144,275
SKU0748,WH01,7,171,327
SKU0749,WH01,7,44,84
SKU0750,WH01,10,69,120
SKU0751,WH01,5,15,30
SKU0752,WH01,7,206,394
SKU0753,WH01,10,52,90
SKU0754,WH01,3,93,221
SKU0755,WH01,7,173,331
SKU0756,WH01,10,266,460
SKU0757,WH01,10,53,91
SKU0758,WH01,7,117,223
SKU0759,WH01,10,694,1202
SKU0760,WH01,5,481,1010
SKU0761,WH01,7,300,575
SKU0762,WH01,14,265,418
SKU0763,WH01,10,63,109
SKU0764,WH01,7,236,452
SKU0765,WH01,7,108,206
SKU0766,WH01,7,205,392
SKU0767,WH01,3,47,111
SKU0768,WH01,10,132,229
SKU0769,WH01,10,179,310
SKU0770,WH01,7,154,296
SKU0771,WH01,5,161,337
SKU0772,WH01,7,74,141
SKU0773,WH01,5,31,65
SKU0774,WH01,10,666,1154
SKU0775,WH01,7,1160,2222
SKU0776,WH01,5,154,323
SKU0777,WH01,7,38,72
SKU0778,WH01,14,98,154
SKU0779,WH01,5,163,342
SKU0780,WH01,7,413,791
SKU0781,WH01,7,42,80
SKU0782,WH01,5,92,194
SKU0783,WH01,7,148,283
SKU0784,WH01,7,269,515
SKU0785,WH01,5,76,159
SKU0786,WH01,5,26,53
SKU0787,WH01,10,270,468
SKU0788,WH01,7,340,651
SKU0789,WH01,7,115,220
SKU0790,WH01,7,178,341
SKU0791,WH01,10,101,175
SKU0792,WH01,10,73,125
SKU0793,WH01,10,389,674
SKU0794,WH01,7,175,336
SKU0795,WH01,7,192,368
SKU0796,WH01,7,477,914
SKU0797,WH01,7,48,92
SKU0798,WH01,7,76,144
SKU0799,WH01,5,119,249
SKU0800,WH01,7,75,143
SKU0801,WH01,7,250,479
SKU0802,WH01,3,70,166
SKU0803,WH01,5,43,89
SKU0804,WH01,10,164,284
SKU0805,WH01,7,144,276
SKU0806,WH01,10,358,620
SKU0807,WH01,7,176,337
SKU0808,WH01,10,234,405
SKU0809,WH01,10,206,357
SKU0810,WH01,5,87,183
SKU0811,WH01,14,103,162
SKU0812,WH01,3,107,254
SKU0813,WH01,7,92,176
SKU0814,WH01,10,706,1224
SKU0815,WH01,7,413,792
SKU0816,WH01,7,219,418
SKU0817,WH01,7,174,333
SKU0818,WH01,3,76,181
SKU0819,WH01,3,27,63
SKU0820,WH01,5,85,178
SKU0821,WH01,5,113,237
SKU0822,WH01,7,152,291
SKU0823,WH01,7,189,361
SKU0824,WH01,7,283,542
SKU0825,WH01,10,83,144
SKU0826,WH01,3,45,106
SKU0827,WH01,5,380,797
SKU0828,WH01,10,309,535
SKU0829,WH01,14,138,217
SKU0830,WH01,7,113,215
SKU0831,WH01,5,94,197
SKU0832,WH01,10,159,276
SKU0833,WH01,10,236,410
SKU0834,WH01,7,1208,2316
SKU0835,WH01,5,122,257
SKU0836,WH01,3,150,355
SKU0837,WH01,7,28,52
SKU0838,WH01,14,127,200
SKU0839,WH01,10,467,808
SKU0840,WH01,7,178,340
SKU0841,WH01,7,3,5
SKU0842,WH01,10,283,491
SKU0843,WH01,7,694,1329
SKU0844,WH01,10,26,45
SKU0845,WH01,7,485,929
SKU0846,WH01,7,11,20
SKU0847,WH01,7,287,551
SKU0848,WH01,7,123,235
SKU0849,WH01,14,24,38
SKU0850,WH01,7,185,354
SKU0851,WH01,7,348,667
SKU0852,WH01,7,172,329
SKU0853,WH01,7,209,401
SKU0854,WH01,7,86,164
SKU0855,WH01,10,29,51
SKU0856,WH01,7,230,441
SKU0857,WH01,7,596,1143
SKU0858,WH01,7,341,654
SKU0859,WH01,3,14,33
SKU0860,WH01,10,40,69
SKU0861,WH01,7,58,111
SKU0862,WH01,7,30,57
SKU0863,WH01,10,161,279
SKU0864,WH01,10,220,381
SKU0865,WH01,10,43,74
SKU0866,WH01,7,249,476
